RND,RLP,LUM,FAR,UCI,PFC,MISMATCH
0.006078596,0.242363865,0.119732068,0.72153195,16.96686829,0.631187358,0.185909727
0.011198495,0.264839928,0.119484165,0.917718862,28.96208137,0.833196505,0.068899231
0.006502218,0.033172119,0.119118751,0.733751184,60.34058004,0.842974801,0.011522037
0.009605354,0.105597494,0.118469088,0.715035475,123.7008542,0.744090813,-0.136423162
0.008049785,0.054390959,0.118282674,0.999796215,18.70012115,0.560854426,0.223640801
0.01539222,0.297953251,0.116322654,0.967134575,87.48842677,0.783654889,-0.010373031
0.011899901,0.243032336,0.115538243,0.932685638,34.10912985,0.733936858,0.059987175
0.009803962,0.162784773,0.11353979,0.697788308,64.86494094,0.711680699,0.006494391
0.01137899,0.255519463,0.112294241,0.219860481,43.9029785,0.6168328,0.021876866
0.009279097,0.003985064,0.109857291,0.942096052,5.782136115,0.593833565,0.225219087
0.006529106,0.016471492,0.109764874,0.998681571,16.77816664,0.495723859,0.139592246
0.006189072,0.262893421,0.108678728,0.76645321,24.19316852,0.771491507,0.26917713
0.008367572,0.285712632,0.108637455,0.813774069,62.79777132,0.686287225,0.064090791
0.006670077,0.405342861,0.107444037,0.874411908,38.33697694,0.769964369,0.095514538
0.011659807,0.433946456,0.106869266,0.252698104,9.936679171,0.595922011,0.171742232
0.011695192,0.340326412,0.106624186,1,47.38176101,0.664682231,0.064171504
0.016916578,0.261633707,0.104833814,0.922553194,34.2463198,0.616721615,0.060434187
0.009898649,0.27627204,0.102900408,0.380608302,14.1239801,0.651501011,0.154559826
0.009866325,0.100712219,0.102009988,0.614067903,44.18996166,0.832825758,0.015996024
0.010332501,0.397755667,0.101968708,0.860446746,39.47778782,0.772788337,0.141521651
0.010015427,0.04749749,0.098682435,0.874975516,66.3531603,0.767616261,0.109936397
0.009657295,0.263657275,0.098315972,0.457802354,67.22696373,0.816063355,-0.030212997
0.011091855,0.105848168,0.091455526,0.911721088,42.20212135,0.773307364,0.307625907
0.011906397,0.111214415,0.0901057,0.691132832,22.3251738,0.680187848,0.173260658
0.006815564,0.364999915,0.089538174,0.621359674,0.052188803,0.314103919,0.112625185
0.005775381,0.057897297,0.08871045,0.099182082,31.91966182,0.834102963,0.117369218
0.012218611,0.125628473,0.085881648,0.75335512,51.41593365,0.663654516,0.150459541
0.009320615,0.181741101,0.084236139,0.64907689,51.24047168,0.661500643,0.107474503
0.004702652,0.279378425,0.081763062,0.801050865,66.16166982,0.815610074,0.21198146
0.005894512,0.212828306,0.081762566,0.887658944,26.10008394,0.710344422,0.404722731
